Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,PDR_Percent
19:47:59.890,EVENT,TEST_START,Duration_ms=3600000,,,,,,,,,,
19:48:00.053,DATA,0x0016,0x0016,1,1,191,-65,,,,,,
19:48:00.096,DATA,0x0012,0x0012,1,1,149,-53,,,,,,
19:48:00.138,DATA,0x0011,0x0011,1,1,157,-55,,,,,,
19:48:00.166,DATA,0x0002,0x0017,1,2,330,-59,,,,,,
19:48:00.261,DATA,0x001d,0x0003,1,2,270,-62,,,,,,
19:48:00.311,DATA,0x001c,0x001c,1,1,152,-57,,,,,,
19:48:00.324,DATA,0x001a,0x0020,1,2,332,-63,,,,,,
19:48:00.331,DATA,0x0006,0x000a,1,2,318,-59,,,,,,
19:48:00.358,DATA,0x0010,0x0028,1,2,288,-52,,,,,,
19:48:00.373,DATA,0x000d,0x0016,1,2,269,-73,,,,,,
19:48:00.435,DATA,0x0003,0x0003,1,1,215,-61,,,,,,
19:48:00.593,DATA,0x002c,0x000e,1,2,360,-65,,,,,,
19:48:00.616,DATA,0x0018,0x0020,1,2,274,-69,,,,,,
19:48:00.629,DATA,0x000b,0x000b,1,1,199,-57,,,,,,
19:48:00.759,DATA,0x0013,0x0017,1,2,264,-59,,,,,,
19:48:00.811,DATA,0x0015,0x0015,1,1,358,-50,,,,,,
19:48:00.920,DATA,0x0029,0x001c,1,2,371,-62,,,,,,
19:48:00.967,DATA,0x000e,0x000e,1,1,147,-56,,,,,,
19:48:01.074,DATA,0x0016,0x0016,2,1,152,-52,,,,,,
19:48:01.091,DATA,0x0023,0x0012,1,2,287,-53,,,,,,
19:48:01.203,DATA,0x000a,0x000a,1,1,546,-64,,,,,,
19:48:01.317,DATA,0x0002,0x0003,2,2,372,-62,,,,,,
19:48:01.363,DATA,0x0011,0x0011,2,1,351,-47,,,,,,
19:48:01.385,DATA,0x001a,0x0020,2,2,419,-78,,,,,,
19:48:01.392,DATA,0x0010,0x0028,2,2,389,-56,,,,,,
19:48:01.619,DATA,0x000c,0x0015,2,2,273,-62,,,,,,
19:48:01.628,DATA,0x002c,0x000e,2,2,282,-65,,,,,,
19:48:01.754,DATA,0x000b,0x000b,2,1,285,-61,,,,,,
19:48:01.996,DATA,0x0029,0x000a,2,2,341,-57,,,,,,
19:48:02.004,DATA,0x0013,0x0017,2,2,262,-56,,,,,,
19:48:02.011,DATA,0x0019,0x001c,2,2,301,-59,,,,,,
19:48:02.041,DATA,0x0023,0x0012,2,2,266,-53,,,,,,
19:48:02.095,DATA,0x0016,0x0016,3,1,146,-52,,,,,,
19:48:02.199,DATA,0x0011,0x0011,3,1,180,-54,,,,,,
19:48:02.414,DATA,0x0010,0x0028,3,2,320,-53,,,,,,
19:48:02.478,DATA,0x0024,0x0020,3,2,363,-70,,,,,,
19:48:02.597,DATA,0x001d,0x0003,3,2,342,-58,,,,,,
19:48:02.609,DATA,0x002c,0x000e,3,2,278,-55,,,,,,
19:48:02.660,DATA,0x000c,0x0015,3,2,277,-58,,,,,,
19:48:02.777,DATA,0x000b,0x000b,3,1,171,-55,,,,,,
19:48:02.845,DATA,0x0007,0x0016,3,2,284,-65,,,,,,
19:48:02.887,DATA,0x0004,0x000a,3,2,504,-59,,,,,,
19:48:03.065,DATA,0x0017,0x0017,3,1,205,-62,,,,,,
19:48:03.138,DATA,0x0019,0x001c,3,2,275,-59,,,,,,
19:48:03.170,DATA,0x0023,0x0012,3,2,305,-51,,,,,,
19:48:03.239,DATA,0x0011,0x0011,4,1,143,-48,,,,,,
19:48:03.493,DATA,0x0010,0x0028,4,2,268,-55,,,,,,
19:48:03.587,DATA,0x001a,0x0020,4,2,369,-60,,,,,,
19:48:03.775,DATA,0x0006,0x000a,4,2,404,-57,,,,,,
19:48:03.803,DATA,0x000c,0x0015,4,2,274,-64,,,,,,
19:48:03.834,DATA,0x000d,0x0016,4,2,383,-69,,,,,,
19:48:03.875,DATA,0x001d,0x0003,4,2,428,-59,,,,,,
19:48:04.093,DATA,0x000b,0x000b,4,1,371,-54,,,,,,
19:48:04.213,DATA,0x002c,0x000e,4,2,699,-56,,,,,,
19:48:04.222,DATA,0x0011,0x0011,5,1,144,-49,,,,,,
19:48:04.271,DATA,0x0023,0x0012,4,2,298,-53,,,,,,
19:48:04.283,DATA,0x0019,0x001c,4,2,279,-66,,,,,,
19:48:04.411,DATA,0x0013,0x0017,4,2,471,-57,,,,,,
19:48:04.629,DATA,0x0010,0x0028,5,2,272,-57,,,,,,
19:48:04.648,DATA,0x001a,0x0020,5,2,268,-61,,,,,,
19:48:04.800,DATA,0x000d,0x0016,5,2,268,-72,,,,,,
19:48:04.907,DATA,0x0003,0x0003,5,1,289,-69,,,,,,
19:48:04.946,DATA,0x0015,0x0015,5,1,212,-46,,,,,,
19:48:04.954,DATA,0x000b,0x000b,5,1,171,-55,,,,,,
19:48:04.981,DATA,0x0027,0x000a,5,2,449,-59,,,,,,
19:48:05.213,DATA,0x0013,0x0017,5,2,289,-62,,,,,,
19:48:05.269,DATA,0x0011,0x0011,6,1,142,-48,,,,,,
19:48:05.427,DATA,0x0019,0x001c,5,2,284,-67,,,,,,
19:48:05.517,DATA,0x0012,0x0012,6,1,143,-52,,,,,,
19:48:05.548,DATA,0x000e,0x000e,5,1,417,-58,,,,,,
19:48:05.640,DATA,0x0016,0x0016,6,1,145,-52,,,,,,
19:48:05.678,DATA,0x0020,0x0020,6,1,144,-59,,,,,,
19:48:05.914,DATA,0x0010,0x0028,6,2,377,-56,,,,,,
19:48:05.926,DATA,0x0015,0x0015,6,1,154,-50,,,,,,
19:48:05.988,DATA,0x000b,0x000b,6,1,151,-61,,,,,,
19:48:06.087,DATA,0x0027,0x000a,6,2,490,-59,,,,,,
19:48:06.168,DATA,0x0025,0x0003,6,2,448,-62,,,,,,
19:48:06.274,DATA,0x0013,0x0017,6,2,263,-60,,,,,,
19:48:06.354,DATA,0x000e,0x000e,6,1,149,-56,,,,,,
19:48:06.401,DATA,0x0023,0x0012,6,2,270,-51,,,,,,
19:48:06.457,DATA,0x0011,0x0011,7,1,165,-54,,,,,,
19:48:06.569,DATA,0x0019,0x001c,6,2,274,-59,,,,,,
19:48:06.684,DATA,0x0016,0x0016,7,1,144,-49,,,,,,
19:48:06.973,DATA,0x0020,0x0020,7,1,409,-65,,,,,,
19:48:07.000,DATA,0x0015,0x0015,7,1,150,-46,,,,,,
19:48:07.067,DATA,0x0010,0x0028,7,2,429,-53,,,,,,
19:48:07.210,DATA,0x000b,0x000b,7,1,369,-54,,,,,,
19:48:07.307,DATA,0x0004,0x000a,7,2,602,-57,,,,,,
19:48:07.325,DATA,0x0013,0x0017,7,2,268,-61,,,,,,
19:48:07.348,DATA,0x0003,0x0003,7,1,530,-59,,,,,,
19:48:07.553,DATA,0x0011,0x0011,8,1,171,-48,,,,,,
19:48:07.560,DATA,0x000e,0x000e,7,1,169,-55,,,,,,
19:48:07.591,DATA,0x0023,0x0012,7,2,333,-62,,,,,,
19:48:07.730,DATA,0x0016,0x0016,8,1,147,-51,,,,,,
19:48:07.754,DATA,0x0019,0x001c,7,2,266,-59,,,,,,
19:48:07.906,DATA,0x0020,0x0020,8,1,148,-67,,,,,,
19:48:07.957,DATA,0x0010,0x0028,8,2,288,-53,,,,,,
19:48:08.009,DATA,0x0015,0x0015,8,1,153,-46,,,,,,
19:48:08.119,DATA,0x000b,0x000b,8,1,142,-54,,,,,,
19:48:08.240,DATA,0x001d,0x0003,8,2,434,-67,,,,,,
19:48:08.424,DATA,0x000c,0x000a,8,2,305,-59,,,,,,
19:48:08.589,DATA,0x0023,0x0012,8,2,284,-52,,,,,,
19:48:08.624,DATA,0x0013,0x0017,8,2,582,-57,,,,,,
19:48:08.657,DATA,0x000e,0x000e,8,1,193,-56,,,,,,
