Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
14:36:52.162,EVENT,TEST_START,Duration_ms=1200000,,,,,,,,,,,
14:37:34.899,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:37:44.881,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:38:04.865,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:39:03.158,DATA,0x0009,0x0009,1,0,27,-59,,,,,,,
14:39:10.367,DATA,0x0006,0x0006,1,0,19,-61,,,,,,,
14:40:03.253,DATA,0x0009,0x0009,2,0,17,-67,,,,,,,
14:40:10.467,DATA,0x0006,0x0006,2,0,12,-60,,,,,,,
14:40:44.840,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:40:54.877,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:40:57.386,DATA,0x0003,0x0006,1,0,0,-66,,,,,,,
14:41:03.403,DATA,0x0009,0x0009,3,0,26,-64,,,,,,,
14:41:05.023,DATA,0x000b,0x0009,1,0,0,-65,,,,,,,
14:41:10.621,DATA,0x0006,0x0006,3,0,24,-59,,,,,,,
14:41:14.846,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:41:57.456,DATA,0x0003,0x0006,2,0,0,-58,,,,,,,
14:42:03.446,DATA,0x0009,0x0009,4,0,24,-65,,,,,,,
14:42:05.163,DATA,0x000b,0x0009,2,0,0,-65,,,,,,,
14:42:10.816,DATA,0x0006,0x0006,4,0,24,-60,,,,,,,
14:42:57.452,DATA,0x0003,0x0006,3,0,0,-56,,,,,,,
14:43:03.663,DATA,0x0009,0x0009,5,0,0,-63,,,,,,,
14:43:05.377,DATA,0x000b,0x0009,3,0,0,-63,,,,,,,
14:43:07.609,DATA,0x0008,0x0006,1,0,0,-58,,,,,,,
14:43:10.812,DATA,0x0006,0x0006,5,0,12,-66,,,,,,,
14:43:57.526,DATA,0x0003,0x0006,4,0,0,-66,,,,,,,
14:44:03.700,DATA,0x0009,0x0009,6,0,0,-62,,,,,,,
14:44:05.457,DATA,0x000b,0x0009,4,0,0,-65,,,,,,,
14:44:07.678,DATA,0x0008,0x0006,2,0,0,-66,,,,,,,
14:44:11.001,DATA,0x0006,0x0006,6,0,38,-66,,,,,,,
14:44:57.619,DATA,0x0003,0x0006,5,0,0,-58,,,,,,,
14:45:03.818,DATA,0x0009,0x0009,7,0,0,-62,,,,,,,
14:45:05.529,DATA,0x000b,0x0009,5,0,0,-62,,,,,,,
14:45:07.823,DATA,0x0008,0x0006,3,0,0,-67,,,,,,,
14:45:11.107,DATA,0x0006,0x0006,7,0,15,-58,,,,,,,
14:45:57.727,DATA,0x0003,0x0006,6,0,0,-59,,,,,,,
14:46:03.980,DATA,0x0009,0x0009,8,0,56434,-62,,,,,,,
14:46:05.724,DATA,0x000b,0x0009,6,0,0,-65,,,,,,,
14:46:07.932,DATA,0x0008,0x0006,4,0,0,-57,,,,,,,
14:46:11.116,DATA,0x0006,0x0006,8,0,17,-59,,,,,,,
14:46:39.869,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:46:49.869,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:46:57.758,DATA,0x0003,0x0006,7,0,0,-59,,,,,,,
14:47:04.039,DATA,0x0009,0x0009,9,0,56467,-66,,,,,,,
14:47:05.928,DATA,0x000b,0x0009,7,0,0,-70,,,,,,,
14:47:08.020,DATA,0x0008,0x0006,5,0,0,-59,,,,,,,
14:47:09.865,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:47:11.204,DATA,0x0006,0x0006,9,0,44,-58,,,,,,,
14:47:57.845,DATA,0x0003,0x0006,8,0,0,-60,,,,,,,
14:48:04.155,DATA,0x0009,0x0009,10,0,73,-60,,,,,,,
14:48:05.909,DATA,0x000b,0x0009,8,0,0,-62,,,,,,,
14:48:08.168,DATA,0x0008,0x0006,6,0,0,-64,,,,,,,
14:48:11.265,DATA,0x0006,0x0006,10,0,19,-57,,,,,,,
14:48:57.977,DATA,0x0003,0x0006,9,0,0,-57,,,,,,,
