Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,Rx_Count_Measured,PDR_Percent
15:30:46.014,EVENT,TEST_START,Duration_ms=60000,,,,
15:30:47.119,DATA,0x00d3,0x00d3,1,-55,,
15:30:48.060,DATA,0x00d4,0x00d4,2,-72,,
15:30:48.087,DATA,0x00d3,0x00d3,2,-48,,
15:30:49.051,DATA,0x00d4,0x00d4,3,-51,,
15:30:49.255,DATA,0x00d3,0x00d3,3,-57,,
15:30:50.058,DATA,0x00d4,0x00d4,4,-66,,
15:30:50.360,DATA,0x00d3,0x00d3,4,-63,,
15:30:51.051,DATA,0x00d4,0x00d4,5,-73,,
15:30:51.371,DATA,0x00d3,0x00d3,5,-60,,
15:30:52.085,DATA,0x00d4,0x00d4,6,-56,,
15:30:52.360,DATA,0x00d3,0x00d3,6,-60,,
15:30:53.056,DATA,0x00d4,0x00d4,7,-60,,
15:30:53.363,DATA,0x00d3,0x00d3,7,-55,,
15:30:54.055,DATA,0x00d4,0x00d4,8,-55,,
15:30:54.367,DATA,0x00d3,0x00d3,8,-53,,
15:30:55.053,DATA,0x00d4,0x00d4,9,-55,,
15:30:55.369,DATA,0x00d3,0x00d3,9,-53,,
15:30:56.056,DATA,0x00d4,0x00d4,10,-53,,
15:30:56.366,DATA,0x00d3,0x00d3,10,-55,,
15:30:57.377,DATA,0x00d3,0x00d3,11,-56,,
15:30:58.358,DATA,0x00d3,0x00d3,12,-57,,
15:30:59.378,DATA,0x00d3,0x00d3,13,-69,,
15:31:00.364,DATA,0x00d3,0x00d3,14,-69,,
15:31:01.415,DATA,0x00d3,0x00d3,15,-57,,
15:31:02.381,DATA,0x00d3,0x00d3,16,-55,,
15:31:03.051,DATA,0x00d4,0x00d4,17,-53,,
15:31:03.363,DATA,0x00d3,0x00d3,17,-55,,
15:31:04.054,DATA,0x00d4,0x00d4,18,-53,,
15:31:04.369,DATA,0x00d3,0x00d3,18,-56,,
15:31:05.057,DATA,0x00d4,0x00d4,19,-53,,
15:31:05.378,DATA,0x00d3,0x00d3,19,-56,,
15:31:06.053,DATA,0x00d4,0x00d4,20,-61,,
15:31:06.380,DATA,0x00d3,0x00d3,20,-56,,
15:31:07.373,DATA,0x00d3,0x00d3,21,-69,,
15:31:08.057,DATA,0x00d4,0x00d4,22,-57,,
15:31:08.372,DATA,0x00d3,0x00d3,22,-69,,
15:31:09.073,DATA,0x00d4,0x00d4,23,-57,,
15:31:09.374,DATA,0x00d3,0x00d3,23,-65,,
15:31:10.057,DATA,0x00d4,0x00d4,24,-55,,
15:31:10.379,DATA,0x00d3,0x00d3,24,-55,,
15:31:11.116,DATA,0x00d4,0x00d4,25,-60,,
15:31:11.374,DATA,0x00d3,0x00d3,25,-55,,
15:31:12.385,DATA,0x00d3,0x00d3,26,-56,,
15:31:13.380,DATA,0x00d3,0x00d3,27,-55,,
15:31:14.385,DATA,0x00d3,0x00d3,28,-56,,
15:31:15.374,DATA,0x00d3,0x00d3,29,-55,,
15:31:16.385,DATA,0x00d3,0x00d3,30,-56,,
15:31:17.388,DATA,0x00d3,0x00d3,31,-55,,
15:31:18.379,DATA,0x00d3,0x00d3,32,-57,,
15:31:19.375,DATA,0x00d3,0x00d3,33,-56,,
15:31:20.392,DATA,0x00d3,0x00d3,34,-56,,
15:31:21.375,DATA,0x00d3,0x00d3,35,-60,,
15:31:22.375,DATA,0x00d3,0x00d3,36,-60,,
15:31:23.384,DATA,0x00d3,0x00d3,37,-64,,
15:31:24.381,DATA,0x00d3,0x00d3,38,-55,,
15:31:25.384,DATA,0x00d3,0x00d3,39,-55,,
15:31:26.393,DATA,0x00d3,0x00d3,40,-53,,
15:31:27.085,DATA,0x00d4,0x00d4,41,-55,,
15:31:27.390,DATA,0x00d3,0x00d3,41,-54,,
15:31:28.061,DATA,0x00d4,0x00d4,42,-55,,
15:31:28.388,DATA,0x00d3,0x00d3,42,-54,,
15:31:29.114,DATA,0x00d4,0x00d4,43,-58,,
15:31:29.388,DATA,0x00d3,0x00d3,43,-61,,
15:31:30.069,DATA,0x00d4,0x00d4,44,-65,,
15:31:30.385,DATA,0x00d3,0x00d3,44,-60,,
15:31:31.070,DATA,0x00d4,0x00d4,45,-58,,
15:31:31.386,DATA,0x00d3,0x00d3,45,-60,,
15:31:32.092,DATA,0x00d4,0x00d4,46,-55,,
15:31:32.385,DATA,0x00d3,0x00d3,46,-60,,
15:31:33.062,DATA,0x00d4,0x00d4,47,-58,,
15:31:33.386,DATA,0x00d3,0x00d3,47,-54,,
15:31:34.067,DATA,0x00d4,0x00d4,48,-55,,
15:31:34.385,DATA,0x00d3,0x00d3,48,-53,,
15:31:35.072,DATA,0x00d4,0x00d4,49,-58,,
15:31:35.424,DATA,0x00d3,0x00d3,49,-55,,
15:31:36.085,DATA,0x00d4,0x00d4,50,-54,,
15:31:36.384,DATA,0x00d3,0x00d3,50,-55,,
15:31:37.394,DATA,0x00d3,0x00d3,51,-55,,
15:31:38.414,DATA,0x00d3,0x00d3,52,-58,,
15:31:39.392,DATA,0x00d3,0x00d3,53,-57,,
15:31:40.395,DATA,0x00d3,0x00d3,54,-57,,
15:31:41.406,DATA,0x00d3,0x00d3,55,-66,,
15:31:42.392,DATA,0x00d3,0x00d3,56,-65,,
15:31:43.398,DATA,0x00d3,0x00d3,57,-65,,
15:31:44.406,DATA,0x00d3,0x00d3,58,-57,,
15:31:45.391,DATA,0x00d3,0x00d3,59,-57,,
15:31:46.038,EVENT,TEST_STOP,Finished,,,,
15:31:46.395,DATA,0x00d3,0x00d3,60,-57,,
15:31:47.747,RESULT,0x00d3,0x00d5,60,-65,60,100.00
15:33:08.848,EVENT,TEST_START,Duration_ms=60000,,,,
15:33:09.901,DATA,0x00d3,0x00d3,1,-80,,
15:33:10.864,DATA,0x00d3,0x00d3,2,-58,,
15:33:11.885,DATA,0x00d3,0x00d3,3,-53,,
15:33:11.907,DATA,0x00d4,0x00d4,3,-47,,
15:33:12.868,DATA,0x00d3,0x00d3,4,-59,,
15:33:12.882,DATA,0x00d4,0x00d4,4,-48,,
15:33:13.862,DATA,0x00d4,0x00d4,5,-48,,
15:33:13.882,DATA,0x00d3,0x00d3,5,-59,,
15:33:14.877,DATA,0x00d4,0x00d4,6,-46,,
15:33:14.886,DATA,0x00d3,0x00d3,6,-54,,
15:33:15.862,DATA,0x00d3,0x00d3,7,-54,,
15:33:15.882,DATA,0x00d4,0x00d4,7,-46,,
15:33:16.870,DATA,0x00d4,0x00d4,8,-46,,
15:33:16.887,DATA,0x00d3,0x00d3,8,-56,,
15:33:17.864,DATA,0x00d3,0x00d3,9,-56,,
15:33:17.886,DATA,0x00d4,0x00d4,9,-46,,
15:33:18.869,DATA,0x00d3,0x00d3,10,-55,,
15:33:18.887,DATA,0x00d4,0x00d4,10,-46,,
15:33:19.851,DATA,0x00d4,0x00d4,11,-46,,
