Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:13:03.108,EVENT,TEST_START,Duration_ms=60000,,,,,
17:13:04.171,DATA,0x0003,0x0003,1,-57,1,,
17:13:04.207,DATA,0x0005,0x0005,1,-82,1,,
17:13:04.229,DATA,0x0004,0x0004,1,-67,1,,
17:13:05.138,DATA,0x0003,0x0003,2,-54,1,,
17:13:05.156,DATA,0x0004,0x0004,2,-63,1,,
17:13:05.177,DATA,0x0005,0x0005,2,-66,1,,
17:13:06.130,DATA,0x0005,0x0005,3,-91,1,,
17:13:06.166,DATA,0x0004,0x0004,3,-72,1,,
17:13:06.183,DATA,0x0003,0x0003,3,-52,1,,
17:13:07.130,DATA,0x0004,0x0004,4,-72,1,,
17:13:07.149,DATA,0x0005,0x0005,4,-81,1,,
17:13:07.179,DATA,0x0003,0x0003,4,-65,1,,
17:13:08.127,DATA,0x0003,0x0003,5,-51,1,,
17:13:08.162,DATA,0x0005,0x0005,5,-79,1,,
17:13:08.175,DATA,0x0004,0x0004,5,-69,1,,
17:13:09.105,DATA,0x0004,0x0004,6,-58,1,,
17:13:09.149,DATA,0x0003,0x0003,6,-62,1,,
17:13:09.312,DATA,0x0005,0x0005,6,-67,1,,
17:13:10.131,DATA,0x0003,0x0003,7,-62,1,,
17:13:10.143,DATA,0x0004,0x0004,7,-58,1,,
17:13:10.180,DATA,0x0005,0x0005,7,-66,1,,
17:13:11.137,DATA,0x0003,0x0003,8,-62,1,,
17:13:11.148,DATA,0x0005,0x0005,8,-66,1,,
17:13:11.174,DATA,0x0004,0x0004,8,-60,1,,
17:13:12.132,DATA,0x0005,0x0005,9,-64,1,,
17:13:12.168,DATA,0x0004,0x0004,9,-61,1,,
17:13:12.187,DATA,0x0003,0x0003,9,-52,1,,
17:13:13.130,DATA,0x0003,0x0003,10,-53,1,,
17:13:13.167,DATA,0x0004,0x0004,10,-60,1,,
17:13:13.190,DATA,0x0005,0x0005,10,-79,1,,
17:13:14.131,DATA,0x0003,0x0003,11,-59,1,,
17:13:14.166,DATA,0x0004,0x0004,11,-59,1,,
17:13:14.186,DATA,0x0005,0x0005,11,-79,1,,
17:13:15.130,DATA,0x0003,0x0003,12,-59,1,,
17:13:15.168,DATA,0x0004,0x0004,12,-64,1,,
17:13:15.180,DATA,0x0005,0x0005,12,-80,1,,
17:13:16.110,DATA,0x0005,0x0005,13,-75,1,,
17:13:16.157,DATA,0x0004,0x0004,13,-62,1,,
17:13:16.172,DATA,0x0003,0x0003,13,-56,1,,
17:13:17.141,DATA,0x0005,0x0005,14,-80,1,,
17:13:17.152,DATA,0x0004,0x0004,14,-71,1,,
17:13:17.174,DATA,0x0003,0x0003,14,-56,1,,
17:13:18.131,DATA,0x0004,0x0004,15,-78,1,,
17:13:18.169,DATA,0x0003,0x0003,15,-68,1,,
17:13:18.183,DATA,0x0005,0x0005,15,-63,1,,
17:13:19.130,DATA,0x0004,0x0004,16,-63,1,,
17:13:19.169,DATA,0x0003,0x0003,16,-60,1,,
17:13:19.180,DATA,0x0005,0x0005,16,-67,1,,
17:13:20.149,DATA,0x0003,0x0003,17,-67,1,,
17:13:20.164,DATA,0x0004,0x0004,17,-63,1,,
17:13:20.197,DATA,0x0005,0x0005,17,-70,1,,
17:13:21.135,DATA,0x0005,0x0005,18,-66,1,,
17:13:21.165,DATA,0x0004,0x0004,18,-71,1,,
17:13:22.132,DATA,0x0005,0x0005,19,-68,1,,
17:13:22.169,DATA,0x0003,0x0003,19,-66,1,,
17:13:22.180,DATA,0x0004,0x0004,19,-72,1,,
17:13:23.132,DATA,0x0004,0x0004,20,-70,1,,
17:13:23.171,DATA,0x0003,0x0003,20,-64,1,,
17:13:23.182,DATA,0x0005,0x0005,20,-69,1,,
17:13:24.133,DATA,0x0003,0x0003,21,-63,1,,
17:13:24.145,DATA,0x0004,0x0004,21,-82,1,,
17:13:24.181,DATA,0x0005,0x0005,21,-75,1,,
17:13:25.108,DATA,0x0003,0x0003,22,-66,1,,
17:13:25.157,DATA,0x0004,0x0004,22,-74,1,,
17:13:25.175,DATA,0x0005,0x0005,22,-91,1,,
17:13:26.134,DATA,0x0003,0x0003,23,-69,1,,
17:13:26.147,DATA,0x0004,0x0004,23,-69,1,,
17:13:26.182,DATA,0x0005,0x0005,23,-67,1,,
17:13:27.136,DATA,0x0004,0x0004,24,-68,1,,
17:13:27.152,DATA,0x0005,0x0005,24,-72,1,,
17:13:27.181,DATA,0x0003,0x0003,24,-60,1,,
17:13:28.139,DATA,0x0005,0x0005,25,-72,1,,
17:13:28.164,DATA,0x0003,0x0003,25,-59,1,,
17:13:28.190,DATA,0x0004,0x0004,25,-69,1,,
17:13:29.139,DATA,0x0004,0x0004,26,-69,1,,
17:13:29.158,DATA,0x0003,0x0003,26,-64,1,,
17:13:29.322,DATA,0x0005,0x0005,26,-82,1,,
17:13:30.141,DATA,0x0004,0x0004,27,-78,1,,
17:13:30.186,DATA,0x0003,0x0003,27,-66,1,,
17:13:30.197,DATA,0x0005,0x0005,27,-77,1,,
17:13:31.161,DATA,0x0005,0x0005,28,-75,1,,
17:13:31.172,DATA,0x0004,0x0004,28,-78,1,,
17:13:32.138,DATA,0x0003,0x0003,29,-66,1,,
17:13:32.149,DATA,0x0005,0x0005,29,-75,1,,
17:13:32.188,DATA,0x0004,0x0004,29,-74,1,,
17:13:33.142,DATA,0x0003,0x0003,30,-67,1,,
17:13:33.164,DATA,0x0004,0x0004,30,-77,1,,
17:13:33.187,DATA,0x0005,0x0005,30,-76,1,,
17:13:34.120,DATA,0x0003,0x0003,31,-66,1,,
17:13:34.165,DATA,0x0004,0x0004,31,-79,1,,
17:13:34.177,DATA,0x0005,0x0005,31,-77,1,,
17:13:35.142,DATA,0x0004,0x0004,32,-75,1,,
17:13:35.155,DATA,0x0003,0x0003,32,-67,1,,
17:13:35.187,DATA,0x0005,0x0005,32,-78,1,,
17:13:36.141,DATA,0x0003,0x0003,33,-67,1,,
17:13:36.156,DATA,0x0004,0x0004,33,-78,1,,
17:13:36.182,DATA,0x0005,0x0005,33,-76,1,,
17:13:37.144,DATA,0x0003,0x0003,34,-67,1,,
17:13:37.157,DATA,0x0004,0x0004,34,-75,1,,
17:13:37.191,DATA,0x0005,0x0005,34,-72,1,,
17:13:38.124,DATA,0x0003,0x0003,35,-60,1,,
17:13:38.169,DATA,0x0004,0x0004,35,-70,1,,
17:13:38.182,DATA,0x0005,0x0005,35,-71,1,,
17:13:39.119,DATA,0x0004,0x0004,36,-72,1,,
17:13:39.166,DATA,0x0005,0x0005,36,-72,1,,
17:13:39.177,DATA,0x0003,0x0003,36,-66,1,,
17:13:40.137,DATA,0x0003,0x0003,37,-60,1,,
17:13:40.149,DATA,0x0005,0x0005,37,-71,1,,
17:13:40.186,DATA,0x0004,0x0004,37,-79,1,,
17:13:41.143,DATA,0x0005,0x0005,38,-72,1,,
17:13:41.154,DATA,0x0003,0x0003,38,-65,1,,
17:13:41.190,DATA,0x0004,0x0004,38,-77,1,,
17:13:42.140,DATA,0x0003,0x0003,39,-65,1,,
17:13:42.152,DATA,0x0005,0x0005,39,-71,1,,
17:13:42.331,DATA,0x0004,0x0004,39,-76,1,,
17:13:43.132,DATA,0x0005,0x0005,40,-89,1,,
17:13:43.179,DATA,0x0003,0x0003,40,-58,1,,
17:13:43.331,DATA,0x0004,0x0004,40,-72,1,,
17:13:44.148,DATA,0x0003,0x0003,41,-68,1,,
17:13:44.167,DATA,0x0005,0x0005,41,-77,1,,
17:13:44.187,DATA,0x0004,0x0004,41,-75,1,,
17:13:45.145,DATA,0x0003,0x0003,42,-67,1,,
17:13:45.160,DATA,0x0005,0x0005,42,-79,1,,
17:13:45.192,DATA,0x0004,0x0004,42,-72,1,,
17:13:46.120,DATA,0x0003,0x0003,43,-59,1,,
17:13:46.165,DATA,0x0004,0x0004,43,-66,1,,
17:13:46.335,DATA,0x0005,0x0005,43,-64,1,,
17:13:47.146,DATA,0x0005,0x0005,44,-64,1,,
17:13:47.159,DATA,0x0003,0x0003,44,-61,1,,
17:13:47.192,DATA,0x0004,0x0004,44,-64,1,,
17:13:48.119,DATA,0x0004,0x0004,45,-65,1,,
17:13:48.172,DATA,0x0005,0x0005,45,-68,1,,
17:13:48.187,DATA,0x0003,0x0003,45,-64,1,,
17:13:49.129,DATA,0x0003,0x0003,46,-65,1,,
17:13:49.169,DATA,0x0004,0x0004,46,-67,1,,
17:13:49.185,DATA,0x0005,0x0005,46,-85,1,,
17:13:50.125,DATA,0x0004,0x0004,47,-69,1,,
17:13:50.173,DATA,0x0003,0x0003,47,-68,1,,
17:13:50.189,DATA,0x0005,0x0005,47,-76,1,,
17:13:51.143,DATA,0x0004,0x0004,48,-65,1,,
17:13:51.172,DATA,0x0003,0x0003,48,-66,1,,
17:13:51.210,DATA,0x0005,0x0005,48,-83,1,,
17:13:52.128,DATA,0x0005,0x0005,49,-76,1,,
17:13:52.178,DATA,0x0003,0x0003,49,-63,1,,
17:13:52.194,DATA,0x0004,0x0004,49,-70,1,,
17:13:53.123,DATA,0x0003,0x0003,50,-64,1,,
17:13:53.176,DATA,0x0004,0x0004,50,-69,1,,
17:13:53.207,DATA,0x0005,0x0005,50,-73,1,,
17:13:54.164,DATA,0x0005,0x0005,51,-76,1,,
17:13:54.186,DATA,0x0003,0x0003,51,-65,1,,
17:13:54.198,DATA,0x0004,0x0004,51,-74,1,,
17:13:55.149,DATA,0x0005,0x0005,52,-81,1,,
