Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
11:46:15.670,EVENT,TEST_START,Duration_ms=120000,,,,,,,,,
11:46:18.510,DATA,0x012a,0x012a,1,-61,1,199,,,,,
11:46:18.535,DATA,0x0129,0x0129,1,-47,1,342,,,,,
11:46:18.561,DATA,0x012b,0x012b,1,-64,1,489,,,,,
11:46:18.588,DATA,0x012c,0x012c,1,-67,1,179,,,,,
11:46:19.868,DATA,0x012a,0x012a,2,-57,1,70,,,,,
11:46:19.999,DATA,0x012d,0x012d,2,-58,1,186,,,,,
11:46:20.174,DATA,0x012b,0x012b,2,-57,1,334,,,,,
11:46:20.320,DATA,0x0129,0x0129,2,-59,1,177,,,,,
11:46:20.560,DATA,0x012c,0x012c,2,-64,1,333,,,,,
11:46:21.943,DATA,0x012a,0x012a,3,-56,1,66,,,,,
11:46:22.006,DATA,0x012d,0x012d,3,-67,1,77,,,,,
11:46:22.073,DATA,0x012b,0x012b,3,-57,1,70,,,,,
11:46:22.276,DATA,0x0129,0x0129,3,-49,1,106,,,,,
11:46:22.343,DATA,0x012c,0x012c,3,-57,1,69,,,,,
11:46:23.995,DATA,0x012a,0x012a,4,-58,1,75,,,,,
11:46:24.076,DATA,0x012d,0x012d,4,-57,1,79,,,,,
11:46:24.230,DATA,0x012b,0x012b,4,-57,1,206,,,,,
11:46:24.383,DATA,0x0129,0x0129,4,-49,1,186,,,,,
11:46:24.475,DATA,0x012c,0x012c,4,-63,1,70,,,,,
11:46:26.043,DATA,0x012a,0x012a,5,-57,1,75,,,,,
11:46:26.176,DATA,0x012d,0x012d,5,-66,1,83,,,,,
11:46:26.257,DATA,0x012b,0x012b,5,-62,1,78,,,,,
11:46:26.408,DATA,0x0129,0x0129,5,-47,1,181,,,,,
11:46:26.606,DATA,0x012c,0x012c,5,-60,1,77,,,,,
11:46:28.184,DATA,0x012a,0x012a,6,-55,1,76,,,,,
11:46:28.371,DATA,0x012d,0x012d,6,-79,1,210,,,,,
11:46:28.496,DATA,0x012b,0x012b,6,-60,1,187,,,,,
11:46:28.661,DATA,0x0129,0x0129,6,-47,1,340,,,,,
11:46:28.785,DATA,0x012c,0x012c,6,-61,1,181,,,,,
11:46:30.327,DATA,0x012a,0x012a,7,-58,1,73,,,,,
11:46:30.360,DATA,0x012d,0x012d,7,-81,1,72,,,,,
11:46:30.447,DATA,0x012b,0x012b,7,-68,1,70,,,,,
11:46:30.628,DATA,0x0129,0x0129,7,-47,1,335,,,,,
11:46:30.739,DATA,0x012c,0x012c,7,-56,1,76,,,,,
11:46:32.357,DATA,0x012a,0x012a,8,-57,1,74,,,,,
11:46:32.540,DATA,0x0129,0x0129,8,-47,1,74,,,,,
11:46:32.666,DATA,0x012b,0x012b,8,-61,1,177,,,,,
11:46:32.894,DATA,0x012d,0x012d,8,-61,1,389,,,,,
11:46:33.041,DATA,0x012c,0x012c,8,-61,1,175,,,,,
11:46:34.490,DATA,0x012a,0x012a,9,-54,1,75,,,,,
11:46:34.607,DATA,0x012d,0x012d,9,-59,1,71,,,,,
11:46:34.675,DATA,0x0129,0x0129,9,-58,1,75,,,,,
11:46:34.758,DATA,0x012b,0x012b,9,-68,1,72,,,,,
11:46:34.939,DATA,0x012c,0x012c,9,-62,1,73,,,,,
11:46:36.637,DATA,0x012d,0x012d,10,-65,1,79,,,,,
11:46:36.796,DATA,0x012a,0x012a,10,-59,1,189,,,,,
11:46:36.928,DATA,0x012b,0x012b,10,-67,1,215,,,,,
11:46:37.092,DATA,0x0129,0x0129,10,-58,1,339,,,,,
11:46:37.244,DATA,0x012c,0x012c,10,-57,1,180,,,,,
11:46:38.618,DATA,0x012d,0x012d,11,-90,1,79,,,,,
11:46:38.715,DATA,0x012a,0x012a,11,-55,1,72,,,,,
11:46:38.802,DATA,0x012b,0x012b,11,-59,1,72,,,,,
11:46:38.961,DATA,0x0129,0x0129,11,-50,1,74,,,,,
11:46:39.273,DATA,0x012c,0x012c,11,-62,1,73,,,,,
11:46:40.733,DATA,0x012d,0x012d,12,-59,1,79,,,,,
11:46:40.842,DATA,0x012a,0x012a,12,-58,1,77,,,,,
11:46:40.963,DATA,0x012b,0x012b,12,-69,1,89,,,,,
11:46:41.031,DATA,0x0129,0x0129,12,-50,1,71,,,,,
11:46:41.294,DATA,0x012c,0x012c,12,-62,1,78,,,,,
11:46:42.835,DATA,0x012d,0x012d,13,-59,1,84,,,,,
11:46:42.997,DATA,0x012a,0x012a,13,-59,1,182,,,,,
11:46:43.085,DATA,0x012b,0x012b,13,-57,1,100,,,,,
11:46:43.317,DATA,0x0129,0x0129,13,-58,1,341,,,,,
11:46:43.483,DATA,0x012c,0x012c,13,-64,1,195,,,,,
11:46:44.835,DATA,0x012d,0x012d,14,-67,1,74,,,,,
11:46:44.954,DATA,0x012a,0x012a,14,-60,1,70,,,,,
11:46:45.166,DATA,0x0129,0x0129,14,-49,1,142,,,,,
11:46:45.315,DATA,0x012b,0x012b,14,-59,1,176,,,,,
11:46:45.399,DATA,0x012c,0x012c,14,-63,1,76,,,,,
11:46:47.017,DATA,0x012d,0x012d,15,-58,1,75,,,,,
11:46:47.148,DATA,0x012a,0x012a,15,-57,1,75,,,,,
11:46:47.258,DATA,0x0129,0x0129,15,-59,1,96,,,,,
11:46:47.434,DATA,0x012b,0x012b,15,-62,1,232,,,,,
11:46:47.481,DATA,0x012c,0x012c,15,-57,1,91,,,,,
11:46:49.034,DATA,0x012d,0x012d,16,-63,1,74,,,,,
11:46:49.263,DATA,0x012a,0x012a,16,-60,1,75,,,,,
11:46:49.350,DATA,0x012b,0x012b,16,-62,1,69,,,,,
11:46:49.484,DATA,0x0129,0x0129,16,-49,1,180,,,,,
11:46:49.617,DATA,0x012c,0x012c,16,-63,1,185,,,,,
11:46:51.210,DATA,0x012d,0x012d,17,-62,1,79,,,,,
11:46:51.295,DATA,0x012a,0x012a,17,-58,1,74,,,,,
11:46:51.496,DATA,0x012b,0x012b,17,-63,1,74,,,,,
11:46:51.561,DATA,0x0129,0x0129,17,-49,1,79,,,,,
11:46:51.673,DATA,0x012c,0x012c,17,-58,1,68,,,,,
11:46:53.291,DATA,0x012d,0x012d,18,-67,1,76,,,,,
11:46:53.426,DATA,0x012a,0x012a,18,-61,1,69,,,,,
11:46:53.557,DATA,0x012b,0x012b,18,-63,1,71,,,,,
11:46:53.743,DATA,0x0129,0x0129,18,-59,1,75,,,,,
11:46:53.887,DATA,0x012c,0x012c,18,-63,1,179,,,,,
11:46:55.375,DATA,0x012d,0x012d,19,-67,1,75,,,,,
11:46:55.444,DATA,0x012a,0x012a,19,-57,1,71,,,,,
11:46:55.626,DATA,0x012b,0x012b,19,-63,1,72,,,,,
11:46:55.765,DATA,0x0129,0x0129,19,-47,1,72,,,,,
11:46:55.939,DATA,0x012c,0x012c,19,-57,1,202,,,,,
11:46:57.481,DATA,0x012d,0x012d,20,-58,1,77,,,,,
11:46:57.612,DATA,0x012a,0x012a,20,-58,1,68,,,,,
11:46:57.736,DATA,0x012b,0x012b,20,-66,1,79,,,,,
11:46:57.909,DATA,0x0129,0x0129,20,-46,1,204,,,,,
11:46:57.975,DATA,0x012c,0x012c,20,-64,1,75,,,,,
11:46:59.638,DATA,0x012d,0x012d,21,-57,1,75,,,,,
11:46:59.807,DATA,0x012a,0x012a,21,-57,1,69,,,,,
11:46:59.972,DATA,0x0129,0x0129,21,-47,1,79,,,,,
11:47:00.043,DATA,0x012b,0x012b,21,-62,1,331,,,,,
11:47:00.170,DATA,0x012c,0x012c,21,-57,1,75,,,,,
11:47:01.655,DATA,0x012d,0x012d,22,-72,1,85,,,,,
11:47:01.961,DATA,0x012b,0x012b,22,-55,1,69,,,,,
11:47:02.072,DATA,0x012a,0x012a,22,-58,1,179,,,,,
11:47:02.275,DATA,0x0129,0x0129,22,-49,1,287,,,,,
11:47:02.468,DATA,0x012c,0x012c,22,-64,1,215,,,,,
11:47:03.712,DATA,0x012d,0x012d,23,-71,1,72,,,,,
11:47:04.105,DATA,0x012b,0x012b,23,-58,1,73,,,,,
11:47:04.190,DATA,0x0129,0x0129,23,-58,1,186,,,,,
11:47:04.353,DATA,0x012a,0x012a,23,-58,1,332,,,,,
11:47:04.425,DATA,0x012c,0x012c,23,-57,1,70,,,,,
11:47:05.848,DATA,0x012d,0x012d,24,-58,1,105,,,,,
11:47:06.079,DATA,0x012b,0x012b,24,-65,1,68,,,,,
11:47:06.230,DATA,0x0129,0x0129,24,-49,1,187,,,,,
11:47:06.365,DATA,0x012a,0x012a,24,-58,1,188,,,,,
11:47:06.444,DATA,0x012c,0x012c,24,-65,1,71,,,,,
11:47:07.952,DATA,0x012d,0x012d,25,-72,1,79,,,,,
11:47:08.086,DATA,0x012b,0x012b,25,-56,1,74,,,,,
11:47:08.184,DATA,0x0129,0x0129,25,-47,1,73,,,,,
11:47:08.346,DATA,0x012a,0x012a,25,-58,1,70,,,,,
11:47:08.489,DATA,0x012c,0x012c,25,-62,1,70,,,,,
11:47:10.161,DATA,0x012d,0x012d,26,-70,1,74,,,,,
