Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
07:55:54.717,EVENT,TEST_START,Duration_ms=3600000,,,,,,,,,,,
07:57:15.447,DATA,0x0020,0x0020,1,1,121,-56,,,,,,,
07:57:15.459,DATA,0x0005,0x0005,1,1,122,-51,,,,,,,
07:57:15.470,DATA,0x0015,0x0015,1,1,155,-57,,,,,,,
07:57:15.495,DATA,0x0024,0x0024,1,1,172,-61,,,,,,,
07:57:15.533,DATA,0x0018,0x0011,1,2,274,-67,,,,,,,
07:57:15.544,DATA,0x0002,0x0002,1,1,132,-67,,,,,,,
07:57:15.567,DATA,0x001c,0x0007,1,2,255,-87,,,,,,,
07:57:15.604,DATA,0x000e,0x000e,1,1,127,-63,,,,,,,
07:57:15.629,DATA,0x0023,0x0023,1,1,130,-74,,,,,,,
07:57:15.642,DATA,0x0017,0x0017,1,1,448,-53,,,,,,,
07:57:15.675,DATA,0x002c,0x002c,1,1,120,-49,,,,,,,
07:57:15.690,DATA,0x0012,0x0012,1,1,216,-57,,,,,,,
07:57:15.712,DATA,0x0009,0x0009,1,1,132,-62,,,,,,,
07:57:15.755,DATA,0x0013,0x0013,1,1,150,-63,,,,,,,
07:57:15.783,DATA,0x0008,0x0008,1,1,120,-52,,,,,,,
07:57:15.818,DATA,0x0021,0x0011,1,2,262,-57,,,,,,,
07:57:15.865,DATA,0x0026,0x0026,1,1,126,-60,,,,,,,
07:57:15.971,DATA,0x0015,0x0015,2,1,128,-56,,,,,,,
07:57:15.991,DATA,0x0019,0x000e,1,2,397,-64,,,,,,,
07:57:16.014,DATA,0x0005,0x0005,2,1,125,-52,,,,,,,
07:57:16.083,DATA,0x0020,0x0020,2,1,324,-57,,,,,,,
07:57:16.096,DATA,0x0002,0x0002,2,1,125,-64,,,,,,,
07:57:16.114,DATA,0x001f,0x0007,1,2,518,-59,,,,,,,
07:57:16.150,DATA,0x0024,0x0024,2,1,351,-61,,,,,,,
07:57:16.161,DATA,0x0017,0x0017,2,1,388,-54,,,,,,,
07:57:16.188,DATA,0x0012,0x0012,2,1,125,-59,,,,,,,
07:57:16.208,DATA,0x0023,0x0023,2,1,124,-74,,,,,,,
07:57:16.226,DATA,0x002c,0x002c,2,1,150,-49,,,,,,,
07:57:16.273,DATA,0x0013,0x0013,2,1,120,-60,,,,,,,
07:57:16.299,DATA,0x0009,0x0009,2,1,123,-62,,,,,,,
07:57:16.362,DATA,0x0021,0x0011,2,2,264,-51,,,,,,,
07:57:16.373,DATA,0x0008,0x0008,2,1,174,-52,,,,,,,
07:57:16.403,DATA,0x0026,0x0026,2,1,124,-60,,,,,,,
07:57:16.485,DATA,0x0019,0x000e,2,2,258,-64,,,,,,,
07:57:16.517,DATA,0x001f,0x0007,2,2,308,-54,,,,,,,
07:57:16.541,DATA,0x0020,0x0020,3,1,134,-57,,,,,,,
07:57:16.577,DATA,0x0015,0x0015,3,1,145,-49,,,,,,,
07:57:16.612,DATA,0x0024,0x0024,3,1,174,-62,,,,,,,
07:57:16.640,DATA,0x0005,0x0005,3,1,129,-52,,,,,,,
07:57:16.670,DATA,0x0002,0x0002,3,1,125,-64,,,,,,,
07:57:16.726,DATA,0x0017,0x0017,3,1,446,-54,,,,,,,
07:57:16.743,DATA,0x0012,0x0012,3,1,146,-57,,,,,,,
07:57:16.773,DATA,0x0023,0x0023,3,1,124,-75,,,,,,,
07:57:16.831,DATA,0x002c,0x002c,3,1,122,-50,,,,,,,
07:57:16.866,DATA,0x0013,0x0013,3,1,119,-65,,,,,,,
07:57:16.896,DATA,0x0009,0x0009,3,1,130,-58,,,,,,,
07:57:16.964,DATA,0x0008,0x0008,3,1,127,-59,,,,,,,
07:57:16.987,DATA,0x0026,0x0026,3,1,124,-55,,,,,,,
07:57:17.084,DATA,0x001f,0x0007,3,2,255,-56,,,,,,,
07:57:17.112,DATA,0x0020,0x0020,4,1,124,-55,,,,,,,
07:57:17.121,DATA,0x0017,0x0017,4,1,142,-54,,,,,,,
07:57:17.154,DATA,0x0021,0x0011,3,2,695,-59,,,,,,,
07:57:17.174,DATA,0x0024,0x0024,4,1,124,-63,,,,,,,
07:57:17.194,DATA,0x0015,0x0015,4,1,122,-49,,,,,,,
07:57:17.222,DATA,0x0005,0x0005,4,1,124,-60,,,,,,,
07:57:17.286,DATA,0x0025,0x0012,3,2,360,-57,,,,,,,
07:57:17.314,DATA,0x0002,0x0002,4,1,126,-61,,,,,,,
07:57:17.326,DATA,0x0019,0x000e,3,2,570,-65,,,,,,,
07:57:17.359,DATA,0x0023,0x0023,4,1,118,-68,,,,,,,
07:57:17.404,DATA,0x0013,0x0013,4,1,138,-63,,,,,,,
07:57:17.431,DATA,0x002c,0x002c,4,1,165,-50,,,,,,,
07:57:17.444,DATA,0x0009,0x0009,4,1,121,-59,,,,,,,
07:57:17.540,DATA,0x0008,0x0008,4,1,122,-52,,,,,,,
07:57:17.556,DATA,0x0021,0x0011,4,2,259,-54,,,,,,,
07:57:17.590,DATA,0x0026,0x0026,4,1,122,-55,,,,,,,
07:57:17.620,DATA,0x001f,0x0007,4,2,269,-54,,,,,,,
07:57:17.681,DATA,0x0019,0x000e,4,2,262,-64,,,,,,,
07:57:17.704,DATA,0x0020,0x0020,5,1,130,-62,,,,,,,
07:57:17.713,DATA,0x0017,0x0017,5,1,176,-58,,,,,,,
07:57:17.732,DATA,0x0024,0x0024,5,1,230,-61,,,,,,,
07:57:17.769,DATA,0x0025,0x0012,4,2,293,-58,,,,,,,
07:57:17.778,DATA,0x0015,0x0015,5,1,171,-49,,,,,,,
07:57:17.791,DATA,0x0005,0x0005,5,1,129,-52,,,,,,,
07:57:17.835,DATA,0x0002,0x0002,5,1,122,-61,,,,,,,
07:57:17.864,DATA,0x0023,0x0023,5,1,126,-73,,,,,,,
07:57:17.904,DATA,0x0011,0x0011,5,1,155,-54,,,,,,,
07:57:17.911,DATA,0x002c,0x002c,5,1,174,-49,,,,,,,
07:57:17.933,DATA,0x0013,0x0013,5,1,133,-64,,,,,,,
07:57:17.976,DATA,0x0009,0x0009,5,1,323,-59,,,,,,,
07:57:17.993,DATA,0x0008,0x0008,5,1,127,-51,,,,,,,
07:57:18.008,DATA,0x0026,0x0026,5,1,125,-55,,,,,,,
07:57:18.022,DATA,0x001f,0x0007,5,2,287,-52,,,,,,,
07:57:18.060,DATA,0x0019,0x000e,5,2,250,-62,,,,,,,
07:57:18.089,DATA,0x0004,0x0012,5,2,280,-62,,,,,,,
07:57:18.097,DATA,0x0020,0x0020,6,1,122,-62,,,,,,,
07:57:18.104,DATA,0x0017,0x0017,6,1,121,-58,,,,,,,
07:57:18.119,DATA,0x0024,0x0024,6,1,121,-61,,,,,,,
07:57:18.129,DATA,0x0015,0x0015,6,1,128,-49,,,,,,,
07:57:18.141,DATA,0x000c,0x0005,6,2,250,-58,,,,,,,
07:57:18.217,DATA,0x0023,0x0023,6,1,149,-69,,,,,,,
07:57:18.232,DATA,0x0002,0x0002,6,1,158,-60,,,,,,,
07:57:18.253,DATA,0x0011,0x0011,6,1,132,-54,,,,,,,
07:57:18.268,DATA,0x002c,0x002c,6,1,120,-53,,,,,,,
07:57:18.275,DATA,0x0013,0x0013,6,1,119,-65,,,,,,,
07:57:18.298,DATA,0x0009,0x0009,6,1,146,-59,,,,,,,
07:57:18.361,DATA,0x0008,0x0008,6,1,125,-60,,,,,,,
07:57:18.370,DATA,0x001f,0x0007,6,2,263,-54,,,,,,,
07:57:18.419,DATA,0x0026,0x0026,6,1,386,-60,,,,,,,
07:57:18.425,DATA,0x0019,0x000e,6,2,277,-64,,,,,,,
07:57:18.436,DATA,0x0020,0x0020,7,1,126,-55,,,,,,,
07:57:18.461,DATA,0x0017,0x0017,7,1,177,-54,,,,,,,
07:57:18.471,DATA,0x0025,0x0012,6,2,301,-63,,,,,,,
07:57:18.483,DATA,0x0024,0x0024,7,1,120,-61,,,,,,,
07:57:18.494,DATA,0x0005,0x0005,7,1,124,-60,,,,,,,
07:57:18.507,DATA,0x0015,0x0015,7,1,127,-56,,,,,,,
07:57:18.580,DATA,0x0023,0x0023,7,1,119,-69,,,,,,,
07:57:18.587,DATA,0x0002,0x0002,7,1,153,-60,,,,,,,
07:57:18.619,DATA,0x0011,0x0011,7,1,123,-54,,,,,,,
07:57:18.630,DATA,0x002c,0x002c,7,1,129,-53,,,,,,,
07:57:18.651,DATA,0x0013,0x0013,7,1,126,-60,,,,,,,
07:57:18.665,DATA,0x0009,0x0009,7,1,122,-59,,,,,,,
07:57:18.713,DATA,0x0026,0x0026,7,1,152,-60,,,,,,,
07:57:18.737,DATA,0x0008,0x0008,7,1,125,-52,,,,,,,
07:57:18.746,DATA,0x001f,0x0007,7,2,292,-52,,,,,,,
07:57:18.771,DATA,0x0020,0x0020,8,1,150,-55,,,,,,,
07:57:18.786,DATA,0x0019,0x000e,7,2,248,-64,,,,,,,
07:57:18.804,DATA,0x0025,0x0012,7,2,252,-57,,,,,,,
