Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,RTT_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
16:33:44.043,EVENT,TEST_START,Duration_ms=1200000,,,,,,,,,,,
16:35:52.299,DATA,0x0004,0x0004,1,1,0,-61,,,,,,,
16:35:53.430,DATA,0x0005,0x0005,1,1,0,-49,,,,,,,
16:36:52.421,DATA,0x0004,0x0004,2,1,0,-57,,,,,,,
16:36:53.609,DATA,0x0005,0x0005,2,1,0,-49,,,,,,,
16:37:48.829,DATA,0x0002,0x0004,1,2,0,-58,,,,,,,
16:37:52.460,DATA,0x0004,0x0004,3,1,0,-66,,,,,,,
16:37:53.689,DATA,0x0005,0x0005,3,1,0,-48,,,,,,,
16:38:48.837,DATA,0x0002,0x0004,2,2,0,-58,,,,,,,
16:38:52.604,DATA,0x0004,0x0004,4,1,0,-58,,,,,,,
16:38:53.820,DATA,0x0005,0x0005,4,1,0,-49,,,,,,,
16:39:48.959,DATA,0x0002,0x0004,3,2,0,-57,,,,,,,
16:39:52.766,DATA,0x0004,0x0004,5,1,0,-59,,,,,,,
16:39:53.077,DATA,0x0006,0x0004,1,3,0,-67,,,,,,,
16:39:53.999,DATA,0x0005,0x0005,5,1,0,-49,,,,,,,
16:40:49.131,DATA,0x0002,0x0004,4,2,0,-58,,,,,,,
16:40:52.907,DATA,0x0004,0x0004,6,1,0,-58,,,,,,,
16:40:53.168,DATA,0x0006,0x0004,2,3,0,-67,,,,,,,
16:40:54.130,DATA,0x0005,0x0005,6,1,0,-49,,,,,,,
16:41:49.298,DATA,0x0002,0x0004,5,2,0,-58,,,,,,,
16:41:52.956,DATA,0x0004,0x0004,7,1,0,-65,,,,,,,
16:41:53.225,DATA,0x0006,0x0004,3,3,0,-59,,,,,,,
16:41:54.349,DATA,0x0005,0x0005,7,1,0,-49,,,,,,,
16:42:49.387,DATA,0x0002,0x0004,6,2,0,-58,,,,,,,
16:42:52.940,DATA,0x0004,0x0004,8,1,0,-66,,,,,,,
16:42:53.300,DATA,0x0006,0x0004,4,3,0,-60,,,,,,,
16:42:54.518,DATA,0x0005,0x0005,8,1,0,-48,,,,,,,
16:43:49.420,DATA,0x0002,0x0004,7,2,0,-58,,,,,,,
16:43:52.980,DATA,0x0004,0x0004,9,1,0,-66,,,,,,,
16:43:53.405,DATA,0x0006,0x0004,5,3,0,-66,,,,,,,
16:43:54.694,DATA,0x0005,0x0005,9,1,0,-53,,,,,,,
16:44:49.468,DATA,0x0002,0x0004,8,2,0,-58,,,,,,,
16:44:53.179,DATA,0x0004,0x0004,10,1,0,-61,,,,,,,
16:44:53.405,DATA,0x0006,0x0004,6,3,0,-58,,,,,,,
16:44:54.712,DATA,0x0005,0x0005,10,1,0,-49,,,,,,,
16:45:49.516,DATA,0x0002,0x0004,9,2,0,-66,,,,,,,
16:45:53.297,DATA,0x0004,0x0004,11,1,0,-66,,,,,,,
16:45:53.568,DATA,0x0006,0x0004,7,3,0,-65,,,,,,,
16:45:54.763,DATA,0x0005,0x0005,11,1,0,-48,,,,,,,
16:46:49.682,DATA,0x0002,0x0004,10,2,0,-60,,,,,,,
16:46:53.370,DATA,0x0004,0x0004,12,1,0,-60,,,,,,,
16:46:53.646,DATA,0x0006,0x0004,8,3,0,-60,,,,,,,
16:46:54.903,DATA,0x0005,0x0005,12,1,0,-49,,,,,,,
16:47:49.729,DATA,0x0002,0x0004,11,2,0,-60,,,,,,,
16:47:53.364,DATA,0x0004,0x0004,13,1,0,-60,,,,,,,
16:47:53.791,DATA,0x0006,0x0004,9,3,0,-60,,,,,,,
16:47:54.953,DATA,0x0005,0x0005,13,1,0,-48,,,,,,,
16:48:49.882,DATA,0x0002,0x0004,12,2,0,-60,,,,,,,
16:48:53.561,DATA,0x0004,0x0004,14,1,0,-57,,,,,,,
16:48:53.846,DATA,0x0006,0x0004,10,3,0,-60,,,,,,,
16:48:55.154,DATA,0x0005,0x0005,14,1,0,-48,,,,,,,
16:49:50.067,DATA,0x0002,0x0004,13,2,0,-58,,,,,,,
16:49:53.681,DATA,0x0004,0x0004,15,1,0,-61,,,,,,,
16:49:53.860,DATA,0x0006,0x0004,11,3,0,-61,,,,,,,
16:49:55.211,DATA,0x0005,0x0005,15,1,0,-53,,,,,,,
16:50:50.184,DATA,0x0002,0x0004,14,2,0,-66,,,,,,,
16:50:53.694,DATA,0x0004,0x0004,16,1,0,-66,,,,,,,
16:50:53.905,DATA,0x0006,0x0004,12,3,0,-57,,,,,,,
16:50:55.290,DATA,0x0005,0x0005,16,1,0,-53,,,,,,,
16:51:50.341,DATA,0x0002,0x0004,15,2,0,-67,,,,,,,
16:51:53.752,DATA,0x0004,0x0004,17,1,0,-67,,,,,,,
16:51:53.930,DATA,0x0006,0x0004,13,3,0,-67,,,,,,,
16:51:55.296,DATA,0x0005,0x0005,17,1,0,-49,,,,,,,
16:52:50.502,DATA,0x0002,0x0004,16,2,0,-58,,,,,,,
16:52:53.928,DATA,0x0004,0x0004,18,1,0,-57,,,,,,,
16:52:54.078,DATA,0x0006,0x0004,14,3,0,-66,,,,,,,
