Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
17:42:19.871,EVENT,TEST_START,Duration_ms=2700000,,,,,,,,,,,
17:42:20.688,HEARTBEAT,0x0014,0x0014,,1,0,,,,,,,,
17:42:20.851,HEARTBEAT,0x0005,0x0005,,1,0,,,,,,,,
17:42:23.931,HEARTBEAT,0x0008,0x0008,,1,0,,,,,,,,
17:42:24.825,EVENT,TEST_STOP,Finished,,,,,,,,,,,
17:42:27.168,REPORT,0x0007,,0,,,,1,2,3,0,0,0,0.00
17:42:27.230,REPORT,0x0008,,0,,,,0,1,0,0,0,0,0.00
17:42:27.510,REPORT,0x0003,,0,,,,0,0,0,0,0,0,0.00
17:42:27.535,REPORT,0x0015,,0,,,,0,0,0,0,0,0,0.00
17:42:27.562,REPORT,0x0019,,0,,,,0,0,0,0,0,0,0.00
17:42:27.604,REPORT,0x001e,,0,,,,0,0,0,0,0,0,0.00
17:42:27.935,REPORT,0x0005,,0,,,,0,1,0,0,0,0,0.00
17:42:27.962,REPORT,0x0023,,0,,,,0,0,0,0,0,0,0.00
17:42:28.004,REPORT,0x0024,,0,,,,0,0,0,0,0,0,0.00
17:42:28.197,REPORT,0x0018,,0,,,,0,0,0,0,0,0,0.00
17:42:28.363,REPORT,0x000f,,0,,,,0,1,1,0,0,0,0.00
17:42:28.648,REPORT,0x0006,,0,,,,1,1,0,0,0,0,0.00
17:42:28.675,REPORT,0x000a,,0,,,,0,0,0,0,0,0,0.00
17:42:28.748,REPORT,0x0025,,0,,,,0,1,1,0,0,0,0.00
17:42:28.964,REPORT,0x000d,,0,,,,1,0,0,0,0,0,0.00
17:42:29.264,REPORT,0x0009,,0,,,,0,0,0,0,0,0,0.00
17:42:29.291,REPORT,0x0021,,0,,,,0,0,0,0,0,0,0.00
17:42:29.600,REPORT,0x001b,,0,,,,0,0,0,0,0,0,0.00
17:42:29.644,REPORT,0x0026,,0,,,,1,0,0,0,0,0,0.00
17:42:29.935,REPORT,0x000e,,0,,,,0,0,0,0,0,0,0.00
