Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),Drop_Count,Fwd_Count,Drop_Rate(%),Pin(%),Routing_Cost
2026-04-07 16:03:11,"=""0008""",1,"=""0002""","=""000F""",-59,152,0,7,0.0,99.3,70.25
2026-04-07 16:03:11,"=""0016""",1,"=""0002""","=""0014""",-60,726,0,2,0.0,99.0,18.89
2026-04-07 16:03:11,"=""0015""",1,"=""0002""","=""0028""",-59,130,0,0,0.0,99.8,74.83
2026-04-07 16:03:11,"=""001F""",3,"=""0022""","=""0011""",-60,15,0,5,0.0,100.0,125.12
2026-04-07 16:03:11,"=""0014""",2,"=""0004""","=""0013""",-75,286,0,49,0.0,98.9,71.05
2026-04-07 16:03:11,"=""0007""",2,"=""0004""","=""001B""",-60,11,0,5,0.0,99.8,116.4
2026-04-07 16:03:11,"=""0018""",2,"=""000E""","=""001E""",-48,181,0,18,0.0,99.8,74.7
2026-04-07 16:03:11,"=""001A""",1,"=""0002""","=""000B""",-58,473,0,62,0.0,99.3,30.67
2026-04-07 16:03:11,"=""000B""",2,"=""0010""","=""0028""",-52,116,0,5,0.0,99.8,87.93
2026-04-07 16:03:11,"=""0009""",1,"=""0002""","=""0007""",-60,505,0,82,0.0,99.0,28.58
2026-04-07 16:03:11,"=""0023""",2,"=""0006""","=""001B""",-51,10,0,25,0.0,99.9,116.72
2026-04-07 16:03:11,"=""001E""",2,"=""0008""","=""000A""",-60,174,0,30,0.0,99.8,75.99
2026-04-07 16:03:11,"=""0003""",1,"=""0002""","=""000A""",-60,159,0,40,0.0,98.9,68.86
2026-04-07 16:03:11,"=""0005""",1,"=""0002""","=""000F""",-60,160,0,25,0.0,99.3,68.66
2026-04-07 16:03:11,"=""0013""",2,"=""000C""","=""001F""",-56,14,0,21,0.0,99.8,115.44
2026-04-07 16:03:11,"=""000E""",1,"=""0002""","=""001E""",-56,229,0,35,0.0,99.5,56.61
2026-04-07 16:03:11,"=""001B""",3,"=""0023""","=""000A""",-60,9,0,5,0.0,100.0,127.04
2026-04-07 16:03:11,"=""0020""",2,"=""000C""","=""001F""",-60,14,0,25,0.0,99.6,115.44
2026-04-07 16:03:11,"=""0011""",2,"=""0010""","=""001F""",-60,4,0,24,0.0,99.6,118.68
2026-04-07 16:03:11,"=""000D""",2,"=""0021""","=""001B""",-59,10,0,21,0.0,99.8,116.72
2026-04-07 16:03:11,"=""000A""",2,"=""0009""","=""001B""",-56,10,0,20,0.0,99.9,116.72
2026-04-07 16:03:11,"=""0006""",1,"=""0002""","=""0023""",-66,58,0,19,0.0,99.0,92.42
2026-04-07 16:03:11,"=""0022""",2,"=""0010""","=""001F""",-50,14,0,12,0.0,100.0,115.44
2026-04-07 16:03:11,"=""0028""",2,"=""000C""","=""0013""",-60,150,0,21,0.0,99.8,80.65
2026-04-07 16:03:11,"=""000C""",1,"=""0002""","=""0013""",-70,75,0,36,0.0,99.9,87.88
2026-04-07 16:03:11,"=""000F""",2,"=""0021""","=""001B""",-50,10,0,27,0.0,99.8,116.72
2026-04-07 16:03:11,"=""0010""",1,"=""0002""","=""0007""",-60,700,0,63,0.0,99.0,19.7
2026-04-07 16:04:11,"=""000B""",2,"=""0010""","=""0020""",-51,177,0,7,0.0,99.7,75.43
2026-04-07 16:04:11,"=""0021""",1,"=""0002""","=""0023""",-58,38,0,7,0.0,99.3,98.1
2026-04-07 16:04:11,"=""0008""",1,"=""0002""","=""000F""",-59,213,0,4,0.0,99.1,59.16
2026-04-07 16:04:11,"=""0003""",1,"=""0002""","=""0007""",-60,805,0,11,0.0,98.8,16.83
2026-04-07 16:04:11,"=""0015""",1,"=""0002""","=""0004""",-60,55,0,5,0.0,99.6,93.25
2026-04-07 16:04:11,"=""0018""",2,"=""000E""","=""000F""",-60,0,0,5,0.0,99.8,120.0
2026-04-07 16:04:11,"=""000E""",1,"=""0002""","=""001E""",-57,292,0,9,0.0,99.3,47.78
2026-04-07 16:04:11,"=""0013""",2,"=""000C""","=""001F""",-51,76,0,5,0.0,99.7,97.62
2026-04-07 16:04:11,"=""001A""",1,"=""0002""","=""0028""",-64,399,0,51,0.0,99.2,36.45
2026-04-07 16:04:11,"=""0016""",1,"=""0002""","=""0028""",-60,213,0,50,0.0,98.9,59.16
2026-04-07 16:04:11,"=""0023""",2,"=""0006""","=""000F""",-60,26,0,14,0.0,100.0,111.7
2026-04-07 16:04:11,"=""000A""",2,"=""0009""","=""0004""",-59,168,0,20,0.0,99.8,77.12
2026-04-07 16:04:11,"=""000F""",2,"=""0021""","=""0019""",-60,15,0,11,0.0,100.0,115.12
2026-04-07 16:04:11,"=""0020""",2,"=""000C""","=""001F""",-58,74,0,29,0.0,99.5,98.14
2026-04-07 16:04:11,"=""0005""",1,"=""0002""","=""000F""",-60,220,0,54,0.0,99.2,58.03
2026-04-07 16:04:11,"=""0014""",2,"=""0003""","=""0011""",-60,809,0,19,0.0,98.8,26.74
